Title;Primary Category 1;Secondary Category 1;Tertiary Category 1;Primary Category 2;Secondary Category 2;Tertiary Category 2;Primary Category 3;Secondary Category 3;Tertiary Category 3
Guest editorial: special section on mining software repositories;no MSR study;;;;;;;;
Guest editorial: mining software repositories;no MSR study;;;;;;;;
Guest editorial: Special section on mining software repositories;no MSR study;;;;;;;;
A survey on the use of topic models when mining software repositories;no MSR study;;;;;;;;
An empirical study of software release notes;development support and automation;topic and knowledge modeling;;;;;;;
Foreword to the special issue on empirical evidence on software product line engineering;development support and automation;generation;release note generation;;;;;;
Perspectives on refactoring planning and practice: an empirical study;no MSR study;;;;;;;;
Fresh apps: an empirical study of frequently-updated mobile apps in the Google play store;software maintenance;change patterns and evolution;;software usage;app stores;;;;
Continuously mining distributed version control systems: an empirical study of how Linux uses Git;software maintenance;change patterns and evolution;;collaboration and coordination;;;;;
An empirical study of integration activities in distributions of open source software;software maintenance;integration;;software maintenance;reuse and clones;;;;
An empirical study of the impact of modern code review practices on software quality;software quality;code reviews;;;;;;;
On the unreliability of bug severity data;collaboration and coordination;communication;;development support and automation;ticket and task resolution;;;;
An automatic method for assessing the versions affected by a vulnerability;software quality;vulnerabilities and security;detection;;;;;;
From Aristotle to Ringelmann: a large-scale analysis of team productivity and coordination in Open Source Software projects;software maintenance;activity and productivity;;collaboration and coordination;;;;;
Evaluating the impact of design pattern and anti-pattern dependencies on changes and faults;software architecture and design;patterns and anti-patterns;;software quality;defects;;;;
An exploratory study of api changes and usages based on apache and eclipse ecosystems;software maintenance;updates and upgrades;;;;;;;
An in-depth study of the promises and perils of mining GitHub;MSR techniques;threats;;;;;;;
Change-based test selection: an empirical evaluation;software quality;tests;;MSR techniques;tool development;;;;
Mining architectural violations from version history;software architecture and design;conformance and evolution;;MSR techniques;tool development;;;;
An empirical examination of the prevalence of inhibitors to the parallelizability of open source software systems;software architecture and design;parallelisation;;;;;;;
Using text clustering to predict defect resolution time: a conceptual replication and an evaluation of prediction accuracy;software quality;defects;fixes;;;;;;
Studying just-in-time defect prediction using cross-project models;software quality;defects;prediction;;;;;;
Experimentation with dynamic simulation models in software engineering: planning and reporting guidelines;no MSR study;;;;;;;;
The impact of tangled code changes on defect prediction models;software quality;defects;prediction;software maintenance;change patterns and evolution;;software maintenance;refactoring;
Large-scale information retrieval in software engineering - an experience report from industrial application;development support and automation;information retrieval;;;;;;;
Investigating technical and non-technical factors influencing modern code review;software quality;code reviews;;collaboration and coordination;;;;;
