Title;Primary Category 1;Secondary Category 1;Tertiary Category 1;Primary Category 2;Secondary Category 2;Tertiary Category 2;Primary Category 3;Secondary Category 3;Tertiary Category 3
Mining software repositories for patternizing attack-and-defense co-evolution;software quality;vulnerabilities and security;;;;;;;
"MSR4P&amp;S 2022: Proceedings of the 1st International Workshop on Mining Software Repositories Applications for Privacy and Security";no MSR study;;;;;;;;
Counterfeit object-oriented programming vulnerabilities: an empirical study in Java;software quality;vulnerabilities and security;;;;;;;
PyDriller: Python framework for mining software repositories;MSR techniques;tool development;;;;;;;
Software Composition Analysis for Vulnerability Detection: An Empirical Study on Java Projects;software quality;vulnerabilities and security;;software maintenance;dependency management;;;;
A large-scale empirical study on Java library migrations: prevalence, trends, and rationales;software maintenance;dependency management;;software maintenance;updates and upgrades;;;;
An empirical study of bots in software development: characteristics and challenges from a practitioner’s perspective;software maintenance;bots;;development support and automation;;;;;
23 shades of self-admitted technical debt: an empirical study on machine learning software;software maintenance;technical debt;;;;;;;
The review linkage graph for code review analytics: a recovery approach and empirical study;software quality;code reviews;;development support and automation;recommendations;;;;
Heard it through the Gitvine: an empirical study of tool diffusion across the npm ecosystem;software maintenance;development operations;;software maintenance;dependency management;;collaboration and coordination;organisational structures;
Why aren’t regular expressions a lingua franca? an empirical study on the re-use and portability of regular expressions;software maintenance;reuse and clones;;software quality;performance;;software quality;defects;
The impact of regular expression denial of service (ReDoS) in practice: an empirical study at the ecosystem scale;software quality;vulnerabilities and security;;software quality;performance;;;;
One size does not fit all: an empirical study of containerized continuous deployment workflows;software maintenance;development operations;CI/CD;;;;;;
Be careful of when: an empirical study on time-related misuse of issue tracking data;MSR techniques;threats;;;;;;;
An empirical study of goto in C code from GitHub repositories;software maintenance;change patterns and evolution;;software quality;defects;;;;
An exploratory study on the relationship of smells and design issues with software vulnerabilities;software maintenance;technical debt;code smells;software quality;vulnerabilities and security;;;;
The making of cloud applications: an empirical study on software development for the cloud;software architecture and design;;;software maintenance;development operations;;;;
MineCPP: Mining Bug Fix Pairs and Their Structures;MSR techniques;tool development;;software quality;defects;detection;software quality;code metrics;
A Multidimensional Analysis of Bug Density in SAP HANA;software quality;defects;detection;software quality;code metrics;;;;
Speeding up the data extraction of machine learning approaches: a distributed framework;MSR techniques;tool development;;MSR techniques;threats;;;;
Testing of autonomous driving systems: where are we and where should we go?;no MSR study;;;;;;;;
Quantifying community evolution in developer social networks;collaboration and coordination;organisational structures;;software maintenance;activity and productivity;;;;
On the relationship between refactoring actions and bugs: a differentiated replication;software quality;defects;patterns;software maintenance;refactoring;;;;
Understanding skills for OSS communities on GitHub;no MSR study;;;;;;;;
Nalanda: a socio-technical graph platform for building software analytics tools at enterprise scale;MSR techniques;tool development;;collaboration and coordination;organisational structures;;development support and automation;recommendations;
A graph-based framework for analysing the design of smart contracts;software architecture and design;documentation;;development support and automation;visualisation;;;;
Automatically identifying performance issue reports with heuristic linguistic patterns;development support and automation;ticket and task resolution;;software quality;performance;;;;
A method to identify and correct problematic software activity data: exploiting capacity constraints and data redundancies;MSR techniques;threats;;;;;;;
(No) influence of continuous integration on the commit activity in GitHub projects;software maintenance;development operations;CI/CD;software maintenance;activity and productivity;;;;
Characterizing the influence of continuous integration: empirical results from 250+ open source and proprietary projects;software maintenance;development operations;CI/CD;software maintenance;activity and productivity;;collaboration and coordination;;
DeepSoft: a vision for a deep model of software;MSR techniques;tool development;;development support and automation;recommendations;;;;
Impact of developer turnover on quality in open-source software;software quality;defects;;collaboration and coordination;;;;;
Metadata-based code example embedding;software maintenance;reuse and clones;;development support and automation;recommendations;;;;
A hybrid model for task completion effort estimation;software maintenance;effort estimation;;;;;;;
The impact of developer team sizes on the structural attributes of software;software quality;code metrics;;collaboration and coordination;organisational structures;;;;
Software evolution and time series volatility: an empirical exploration;MSR techniques;threats;;software maintenance;activity and productivity;;;;
Tackling knowledge needs during software evolution;development support and automation;topic and knowledge modeling;;development support and automation;information retrieval;;;;
DIFFBASE: a differential factbase for effective software evolution management;MSR techniques;tool development;;software maintenance;change patterns and evolution;;;;
A differential evolution-based approach for effort-aware just-in-time software defect prediction;software quality;defects;prediction;;;;;;
Matching Skills, Past Collaboration, and Limited Competition: Modeling When Open-Source Projects Attract Contributors;collaboration and coordination;expertise;;collaboration and coordination;onboarding;;collaboration and coordination;organisational structures;
Flexeme: untangling commits using lexical flows;MSR techniques;tool development;;software maintenance;change patterns and evolution;;software maintenance;refactoring;
Bing developer assistant: improving developer productivity by recommending sample code;MSR techniques;tool development;;development support and automation;recommendations;;software maintenance;activity and productivity;
FourD: do developers discuss design? revisited;software architecture and design;patterns and anti-patterns;;;;;;;
