Title;Primary Category 1;Secondary Category 1;Tertiary Category 1;Primary Category 2;Secondary Category 2;Tertiary Category 2;Primary Category 3;Secondary Category 3;Tertiary Category 3
Mining Version Control Systems and Issue Trackers with LibVCS4j;MSR techniques;tool development;;;;;;;
Modeling the evolution of development topics using Dynamic Topic Models;development support and automation;topic and knowledge modeling;;;;;;;
PR-SZZ: How pull requests can support the tracing of defects in software repositories;software quality;defects;detection;software quality;defects;fixes;;;
Explore the evolution of development topics via on-line LDA;development support and automation;topic and knowledge modeling;;;;;;;
Enhancing Just-in-Time Defect Prediction Using Change Request-based Metrics;software quality;defects;prediction;;;;;;
Knowledge Graphing Git Repositories: A Preliminary Study;development support and automation;topic and knowledge modeling;;MSR techniques;tool development;;;;
Improving the integration process of large software systems;software maintenance;integration;;software maintenance;effort estimation;;;;
Using Large Language Models for Commit Message Generation: A Preliminary Study;development support and automation;generation;commit message generation;;;;;;
Understanding and Facilitating the Co-Evolution of Production and Test Code;software quality;tests;;;;;;;
Ultra-Large-Scale Repository Analysis via Graph Compression;development support and automation;topic and knowledge modeling;;;;;;;
Reducing redundancies in multi-revision code analysis;MSR techniques;tool development;;;;;;;
On the Co-evolution of ML Pipelines and Source Code - Empirical Study of DVC Projects;software maintenance;development operations;MLOps;software maintenance;dependency management;;;;
PANDORA: Continuous Mining Software Repository and Dataset Generation;MSR techniques;tool development;;;;;;;
Summarizing Evolutionary Trajectory by Grouping and Aggregating relevant code changes;software maintenance;change patterns and evolution;;MSR techniques;tool development;;;;
Analysis and Propagation of Feature Revisions in Preprocessor-based Software Product Lines;software architecture and design;features and variants;;;;;;;
The Impact of Human Discussions on Just-in-Time Quality Assurance: An Empirical Study on OpenStack and Eclipse;software quality;defects;detection;collaboration and coordination;communication;;;;
Towards a Robust Approach to Analyze Time-Dependent Data in Software Engineering;MSR techniques;threats;;;;;;;
Understanding developers' natural language queries with interactive clarification;development support and automation;topic and knowledge modeling;;development support and automation;information retrieval;;MSR techniques;tool development;
We Are Family: Analyzing Communication in GitHub Software Repositories and Their Forks;collaboration and coordination;communication;topic modeling;software usage;popularity;;;;
Are Refactorings to Blame? An Empirical Study of Refactorings in Merge Conflicts;software maintenance;code merge;;software maintenance;refactoring;;;;
On the Relationship of Inconsistent Software Clones and Faults: An Empirical Study;software maintenance;reuse and clones;;software quality;defects;patterns;;;
Supporting Merge Conflict Resolution by Using Fine-Grained Code Change History;software maintenance;code merge;;;;;;;
Which review feedback did long-term contributors get on OSS projects?;collaboration and coordination;organisational structures;;collaboration and coordination;onboarding;;software maintenance;activity;
Diggit: Automated code review via software repository mining;MSR techniques;tool development;;software maintenance;code reviews;;;;
BUMPER: A Tool for Coping with Natural Language Searches of Millions of Bugs and Fixes;MSR techniques;tool development;;software quality;defects;;;;
