"","project","module","releaseDate","developer","touches","churn","commits_group_id"
"1","https://github.com/rails/rails.git","(?-mix:^activesupport\/lib\/active_support\/.*)",2009-05-15,"jeremy kemper",4,147,3
"2","https://github.com/rails/rails.git","(?-mix:^actionpack\/lib\/action_view\/.*)",2009-05-15,"yehuda katz + carl lerche",8,32,3
"3","https://github.com/rails/rails.git","(?-mix:^actionpack\/lib\/action_controller\/.*)",2009-05-15,"jeremy kemper",4,38,3
"4","https://github.com/rails/rails.git","(?-mix:^actionpack\/lib\/action_view\/helpers\/.*)",2009-05-15,"thomas r. koll",1,4,3
"5","https://github.com/matthieu-foucault/jquery.git","src/manipulation.js",2012-12-08,"oleg",45,751,5
"6","https://github.com/matthieu-foucault/jquery.git","src/css.js",2012-12-08,"bennett sorbo",1,1,5
"7","https://github.com/rails/rails.git","(?-mix:^actionpack\/lib\/action_view\/template_handlers\/.*)",2009-04-16,"jeremy kemper",1,1,2
"8","https://github.com/rails/rails.git","(?-mix:^actionpack\/lib\/action_controller\/.*)",2009-05-15,"yehuda katz + carl lerche",10,41,3
"9","https://github.com/rails/rails.git","(?-mix:^actionpack\/lib\/action_controller\/.*)",2009-05-15,"bryan helmkamp",3,50,3
"10","https://github.com/rails/rails.git","(?-mix:^activesupport\/lib\/active_support\/json\/.*)",2009-05-15,"brian lopez",1,5,3
"11","https://github.com/rails/rails.git","(?-mix:^activesupport\/lib\/active_support\/xml_mini.*)",2009-05-15,"brian lopez",6,74,3
"12","https://github.com/rails/rails.git","(?-mix:^actionpack\/lib\/action_view\/helpers\/.*)",2009-05-15,"lance ivy",1,13,3
"13","https://github.com/rails/rails.git","(?-mix:^actionpack\/lib\/action_controller\/.*)",2009-05-15,"thomas e. glasgow",1,7,3
"14","https://github.com/rails/rails.git","(?-mix:^actionpack\/lib\/action_view\/helpers\/.*)",2009-05-15,"travis briggs",1,7,3
"15","https://github.com/rails/rails.git","(?-mix:^activesupport\/lib\/active_support\/multibyte\/.*)",2009-05-15,"jeremy kemper",1,1,3
"16","https://github.com/rails/rails.git","(?-mix:^activesupport\/lib\/active_support\/cache\/.*)",2009-05-15,"bryan helmkamp",2,19,3
"17","https://github.com/angular/angular.js.git","(?-mix:^src\/[^\/]*)",2013-05-11,"joakim blomskøld",1,1,12
"18","https://github.com/angular/angular.js.git","(?-mix:^src\/ng\/directive\/input\.js)",2013-05-11,"david bennett",1,2,12
"19","https://github.com/angular/angular.js.git","(?-mix:^src\/[^\/]*)",2013-05-11,"michał gołębiowski",1,7,12
"20","https://github.com/angular/angular.js.git","(?-mix:^src\/jqLite\.js)",2013-05-11,"michał gołębiowski",1,11,12
"21","https://github.com/angular/angular.js.git","(?-mix:^src\/ngResource\/.*)",2013-05-11,"alexander shtuchkin",1,124,12
"22","https://github.com/angular/angular.js.git","(?-mix:^src\/auto\/injector\.js)",2013-05-11,"igor minar",1,12,12
"23","https://github.com/angular/angular.js.git","(?-mix:^src\/jqLite\.js)",2013-05-11,"igor minar",1,6,12
