"","project","module","releaseDate","developer","touches","churn","commits_group_id"
"1","https://github.com/jenkinsci/jenkins.git","(?-mix:^cli\/src\/main\/java\/hudson\/cli\/.*)",2012-09-03,"vjuranek",3,183,1
"2","https://github.com/jenkinsci/jenkins.git","(?-mix:^core\/src\/main\/java\/hudson\/console\/.*)",2012-09-03,"vjuranek",2,84,1
"3","https://github.com/jenkinsci/jenkins.git","(?-mix:^core\/src\/main\/java\/hudson\/model\/listeners\/.*)",2012-09-03,"vjuranek",1,2,1
"4","https://github.com/jenkinsci/jenkins.git","(?-mix:^core\/src\/main\/java\/hudson\/model\/queue\/.*)",2012-09-03,"vjuranek",5,111,1
"5","https://github.com/jenkinsci/jenkins.git","(?-mix:^core\/src\/main\/java\/hudson\/node_monitors\/.*)",2012-09-03,"vjuranek",2,27,1
"6","https://github.com/jenkinsci/jenkins.git","(?-mix:^core\/src\/main\/java\/hudson\/os\/.*)",2012-09-03,"vjuranek",1,25,1
"7","https://github.com/angular/angular.js.git","(?-mix:^src\/ngMock\/.*)",2011-09-02,"vojta jina",3,22,1
"8","https://github.com/angular/angular.js.git","(?-mix:^src\/ngMock\/.*)",2011-09-02,"di peng",4,143,1
"9","https://github.com/angular/angular.js.git","(?-mix:^src\/ngCookies\/cookies\.js)",2011-09-02,"igor minar",4,100,1
"10","https://github.com/angular/angular.js.git","(?-mix:^src\/ng\/location\.js)",2011-09-02,"igor minar",4,374,1
"11","https://github.com/angular/angular.js.git","(?-mix:^src\/ngResource\/.*)",2011-09-02,"igor minar",2,206,1
"12","https://github.com/angular/angular.js.git","(?-mix:^src\/ngScenario\/.*)",2011-09-02,"di peng",4,27,1
"13","https://github.com/angular/angular.js.git","(?-mix:^src\/jqLite\.js)",2011-09-02,"di peng",1,34,1
"14","https://github.com/angular/angular.js.git","(?-mix:^src\/ng\/[^\/]*)",2011-09-02,"vojta jina",1,20,1
"15","https://github.com/angular/angular.js.git","(?-mix:^src\/jqLite\.js)",2011-09-02,"vojta jina",3,12,1
"16","https://github.com/angular/angular.js.git","(?-mix:^src\/auto\/injector\.js)",2011-09-02,"mårten dolk",1,2,1
"17","https://github.com/angular/angular.js.git","(?-mix:^src\/ngScenario\/.*)",2011-09-02,"vojta jina",13,450,1
"18","https://github.com/angular/angular.js.git","(?-mix:^src\/[^\/]*)",2011-09-02,"craig tataryn",1,4,1
"19","https://github.com/angular/angular.js.git","(?-mix:^src\/[^\/]*)",2011-09-02,"kenneth r. culp",1,55,1
"20","https://github.com/matthieu-foucault/jquery.git","src/intro.js",2012-08-09,"dmethvin",2,12,0
"21","https://github.com/matthieu-foucault/jquery.git","src/event.js",2012-08-09,"dmethvin",31,262,0
"22","https://github.com/matthieu-foucault/jquery.git","src/attributes.js",2012-08-09,"dmethvin",7,55,0
"23","https://github.com/matthieu-foucault/jquery.git","src/css.js",2012-08-09,"corey frang",2,27,0
"24","https://github.com/matthieu-foucault/jquery.git","src/ajax.js",2012-08-09,"timmy willison",1,2,0
"25","https://github.com/matthieu-foucault/jquery.git","src/css.js",2012-08-09,"dmethvin",5,287,0
"26","https://github.com/matthieu-foucault/jquery.git","src/css.js",2012-08-09,"oleg",1,8,0
"27","https://github.com/matthieu-foucault/jquery.git","src/effects.js",2012-08-09,"oleg",3,28,0
"28","https://github.com/matthieu-foucault/jquery.git","src/manipulation.js",2012-08-09,"dmethvin",9,584,0
"29","https://github.com/matthieu-foucault/jquery.git","src/support.js",2012-08-09,"dmethvin",5,131,0
"30","https://github.com/matthieu-foucault/jquery.git","src/data.js",2012-08-09,"dmethvin",6,41,0
"31","https://github.com/matthieu-foucault/jquery.git","src/css.js",2012-08-09,"mike sherov",19,482,0
"32","https://github.com/matthieu-foucault/jquery.git","src/css.js",2011-11-03,"dmethvin",11,402,1
"33","https://github.com/matthieu-foucault/jquery.git","src/effects.js",2011-11-03,"dmethvin",10,328,1
"34","https://github.com/matthieu-foucault/jquery.git","src/manipulation.js",2011-11-03,"dmethvin",8,165,1
"35","https://github.com/matthieu-foucault/jquery.git","src/offset.js",2011-11-03,"dmethvin",2,86,1
"36","https://github.com/matthieu-foucault/jquery.git","src/outro.js",2011-11-03,"dmethvin",3,2,1
"37","https://github.com/rails/rails.git","(?-mix:^railties\/lib\/.*)",2008-10-24,"rick",1,3,1
"38","https://github.com/rails/rails.git","(?-mix:^actionpack\/.*)",2008-10-24,"sven fuchs",2,4,1
"39","https://github.com/rails/rails.git","(?-mix:^activerecord\/lib\/.*)",2008-10-24,"sven fuchs",3,30,1
"40","https://github.com/rails/rails.git","(?-mix:^activesupport\/.*)",2008-10-24,"sven fuchs",1,2,1
"41","https://github.com/rails/rails.git","(?-mix:^activerecord\/lib\/.*)",2008-10-24,"emilio tagua",6,16,1
"42","https://github.com/rails/rails.git","(?-mix:^activerecord\/lib\/.*)",2008-10-24,"jon leighton",1,9,1
"43","https://github.com/rails/rails.git","(?-mix:^activerecord\/lib\/.*)",2008-10-24,"wmoxam",1,2,1
"44","https://github.com/ansible/ansible.git","(?-mix:^plugins\/inventory\/.*\.py)",2014-02-28,"michael dehaan",12,108,0
"45","https://github.com/ansible/ansible.git","(?-mix:^library\/packaging\/.*)",2014-02-28,"robin roth",1,7,0
"46","https://github.com/ansible/ansible.git","(?-mix:^library\/cloud\/.*)",2014-02-28,"mohan krishnan",2,38,0
"47","https://github.com/ansible/ansible.git","(?-mix:^plugins\/inventory\/.*\.py)",2014-02-28,"aaron rice",1,2,0
"48","https://github.com/ansible/ansible.git","plugins/inventory/gce.ini",2013-11-21,"james tanner",31,1457,1
"49","https://github.com/ansible/ansible.git","(?-mix:^library\/system\/.*)",2013-11-21,"nextus",2,5,1
"50","https://github.com/ansible/ansible.git","(?-mix:^library\/cloud\/.*)",2013-11-21,"dragon3",2,7,1
"51","https://github.com/ansible/ansible.git","(?-mix:^lib\/ansible\/[^\/]*)",2013-11-21,"dragon3",1,4,1
"52","https://github.com/ansible/ansible.git","(?-mix:^library\/cloud\/.*)",2013-11-21,"james laska",1,28,1
"53","https://github.com/ansible/ansible.git","(?-mix:^library\/cloud\/.*)",2013-11-21,"john dewey",1,2,1
"54","https://github.com/ansible/ansible.git","(?-mix:^library\/cloud\/.*)",2013-11-21,"kiri",1,1,1
"55","https://github.com/ansible/ansible.git","(?-mix:^lib\/ansible\/[^\/]*)",2013-11-21,"benno joy",1,66,1
"56","https://github.com/ansible/ansible.git","(?-mix:^library\/files\/.*)",2013-11-21,"jon kolb",1,31,1
"57","https://github.com/ansible/ansible.git","(?-mix:^library\/cloud\/.*)",2013-11-21,"benno joy",1,6,1
"58","https://github.com/angular/angular.js.git","(?-mix:^i18n\/e2e\/.*)",2011-09-02,"di peng",2,185,1
"59","https://github.com/angular/angular.js.git","(?-mix:^src\/ngLocale\/.*)",2011-09-02,"di peng",155,465,1
"60","https://github.com/angular/angular.js.git","(?-mix:^i18n\/closure\/.*)",2011-09-02,"di peng",4,7549,1
"61","https://github.com/angular/angular.js.git","(?-mix:^i18n\/src\/closureSlurper\.js)",2011-09-02,"di peng",2,142,1
"62","https://github.com/angular/angular.js.git","(?-mix:^src\/ng\/directive\/.*)",2011-09-02,"di peng",4,177,1
"63","https://github.com/angular/angular.js.git","(?-mix:^src\/[^\/]*)",2011-09-02,"di peng",7,50,1
"64","https://github.com/angular/angular.js.git","(?-mix:^src\/[^\/]*)",2011-09-02,"toni thompson",2,281,1
"65","https://github.com/angular/angular.js.git","(?-mix:^src\/ng\/[^\/]*)",2011-09-02,"igor minar",12,353,1
"66","https://github.com/angular/angular.js.git","(?-mix:^src\/ngResource\/.*)",2011-09-02,"dandoyon",1,2,1
"67","https://github.com/angular/angular.js.git","(?-mix:^src\/ng\/[^\/]*)",2011-09-02,"dandoyon",1,2,1
"68","https://github.com/angular/angular.js.git","(?-mix:^src\/ngScenario\/.*)",2011-09-02,"igor minar",33,125,1
"69","https://github.com/angular/angular.js.git","(?-mix:^src\/ngLocale\/.*)",2011-09-02,"igor minar",155,465,1
"70","https://github.com/angular/angular.js.git","(?-mix:^src\/ngMock\/.*)",2011-09-02,"igor minar",22,347,1
"71","https://github.com/angular/angular.js.git","(?-mix:^i18n\/spec\/.*)",2011-09-02,"di peng",3,118,1
"72","https://github.com/angular/angular.js.git","(?-mix:^i18n\/src\/converter\.js)",2011-09-02,"di peng",1,60,1
"73","https://github.com/angular/angular.js.git","(?-mix:^i18n\/src\/parser\.js)",2011-09-02,"di peng",1,64,1
