"","time","tot","s","n","l"
"1",2011-01-05,13,4,7,2
"2",2011-01-20,13,3,6,4
"3",2011-02-04,13,3,6,4
"4",2011-02-19,16,4,7,5
"5",2011-03-06,17,4,8,5
"6",2011-03-21,17,5,8,4
"7",2011-04-05,17,4,7,6
"8",2011-04-20,18,5,6,7
"9",2011-05-05,18,4,6,8
"10",2011-05-20,18,3,6,9
"11",2011-06-04,18,3,7,8
"12",2011-06-19,18,3,7,8
"13",2011-07-04,18,3,7,8
"14",2011-07-19,17,3,8,6
"15",2011-08-03,19,3,10,6
"16",2011-08-18,18,5,7,6
"17",2011-09-02,19,5,7,7
"18",2011-09-17,21,5,9,7
"19",2011-10-02,21,5,10,6
"20",2011-10-17,20,4,9,7
"21",2011-11-01,20,4,10,6
"22",2011-11-16,19,4,10,5
"23",2011-12-01,21,3,12,6
"24",2011-12-16,21,4,11,6
"25",2011-12-31,23,4,13,6
"26",2012-01-15,23,4,12,7
"27",2012-01-30,25,6,12,7
"28",2012-02-14,26,6,14,6
"29",2012-02-29,25,4,13,8
"30",2012-03-15,26,6,12,8
"31",2012-03-30,27,7,13,7
"32",2012-04-14,29,7,16,6
"33",2012-04-29,31,7,17,7
"34",2012-05-14,34,7,20,7
"35",2012-05-29,35,7,19,9
"36",2012-06-13,36,7,21,8
"37",2012-06-28,39,6,22,11
"38",2012-07-13,43,6,27,10
"39",2012-07-28,49,6,31,12
"40",2012-08-12,56,6,36,14
"41",2012-08-27,57,5,40,12
"42",2012-09-11,64,5,47,12
"43",2012-09-26,72,6,52,14
"44",2012-10-11,76,5,55,16
"45",2012-10-26,83,6,59,18
"46",2012-11-10,92,8,65,19
"47",2012-11-25,94,9,68,17
"48",2012-12-10,103,8,75,20
"49",2012-12-25,108,9,79,20
"50",2013-01-09,115,11,83,21
"51",2013-01-24,122,13,86,23
"52",2013-02-08,133,13,92,28
"53",2013-02-23,141,12,97,32
"54",2013-03-10,151,13,99,39
"55",2013-03-25,165,13,107,45
"56",2013-04-09,181,12,124,45
"57",2013-04-24,205,16,141,48
"58",2013-05-09,225,16,154,55
"59",2013-05-24,249,19,172,58
"60",2013-06-08,258,18,175,65
"61",2013-06-23,268,18,180,70
"62",2013-07-08,286,20,195,71
"63",2013-07-23,298,22,198,78
"64",2013-08-07,305,22,200,83
"65",2013-08-22,326,21,217,88
"66",2013-09-06,341,18,229,94
"67",2013-09-21,358,24,239,95
"68",2013-10-06,385,28,249,108
"69",2013-10-21,419,31,265,123
"70",2013-11-05,450,33,282,135
"71",2013-11-20,487,36,301,150
"72",2013-12-05,517,39,321,157
"73",2013-12-20,537,39,339,159
"74",2014-01-04,553,43,339,171
"75",2014-01-19,586,42,367,177
"76",2014-02-03,593,39,370,184
"77",2014-02-18,610,37,377,196
"78",2014-03-05,635,36,387,212
"79",2014-03-20,650,39,386,225
"80",2014-04-04,663,44,390,229
"81",2014-04-19,668,43,370,255
"82",2014-05-04,675,45,355,275
"83",2014-05-19,673,49,340,284
"84",2014-06-03,685,44,335,306
"85",2014-06-18,706,45,332,329
"86",2014-07-03,709,44,332,333
"87",2014-07-18,711,43,308,360
"88",2014-08-02,717,42,309,366
"89",2014-08-17,705,42,288,375
"90",2014-09-01,709,43,288,378
"91",2014-09-16,699,42,276,381
"92",2014-10-01,703,42,270,391
"93",2014-10-16,685,37,271,377
"94",2014-10-31,682,38,281,363
"95",2014-11-15,673,38,279,356
"96",2014-11-30,657,39,274,344
"97",2014-12-15,647,41,270,336
"98",2014-12-30,651,43,275,333
"99",2015-01-14,625,45,271,309
"100",2015-01-29,619,42,268,309
