"","time","tot","s","n","l"
"1",2013-02-03,155,26,92,37
"2",2013-02-18,178,28,106,44
"3",2013-03-05,192,26,114,52
"4",2013-03-20,214,27,130,57
"5",2013-04-04,223,27,134,62
"6",2013-04-19,233,26,136,71
"7",2013-05-04,245,25,149,71
"8",2013-05-19,257,29,163,65
"9",2013-06-03,279,33,181,65
"10",2013-06-18,300,37,199,64
"11",2013-07-03,312,39,212,61
"12",2013-07-18,329,40,222,67
"13",2013-08-02,341,48,224,69
"14",2013-08-17,353,58,218,77
"15",2013-09-01,362,55,223,84
"16",2013-09-16,376,57,220,99
"17",2013-10-01,393,54,234,105
"18",2013-10-16,426,54,261,111
"19",2013-10-31,436,59,262,115
"20",2013-11-15,458,64,267,127
"21",2013-11-30,482,71,270,141
"22",2013-12-15,509,79,274,156
"23",2013-12-30,518,78,271,169
"24",2014-01-14,530,79,270,181
"25",2014-01-29,546,77,275,194
"26",2014-02-13,566,79,289,198
"27",2014-02-28,581,82,304,195
"28",2014-03-15,620,81,343,196
"29",2014-03-30,638,83,354,201
"30",2014-04-14,652,87,344,221
"31",2014-04-29,672,83,351,238
"32",2014-05-14,676,87,344,245
"33",2014-05-29,680,90,337,253
"34",2014-06-13,687,84,340,263
"35",2014-06-28,707,86,354,267
"36",2014-07-13,710,82,358,270
"37",2014-07-28,699,80,348,271
"38",2014-08-12,701,79,339,283
"39",2014-08-27,706,79,324,303
"40",2014-09-11,716,86,298,332
"41",2014-09-26,705,88,267,350
"42",2014-10-11,688,86,254,348
"43",2014-10-26,676,75,247,354
"44",2014-11-10,668,73,239,356
"45",2014-11-25,650,69,220,361
"46",2014-12-10,633,65,206,362
"47",2014-12-25,619,61,181,377
"48",2015-01-09,602,67,164,371
"49",2015-01-24,588,56,158,374
"50",2015-02-08,575,51,153,371
"51",2015-02-23,556,48,151,357
"52",2015-03-10,526,47,138,341
