"","time","tot","s","n","l"
"1",2011-11-09,123,25,57,41
"2",2011-11-24,126,26,55,45
"3",2011-12-09,129,25,54,50
"4",2011-12-24,133,23,47,63
"5",2012-01-08,137,25,44,68
"6",2012-01-23,139,25,49,65
"7",2012-02-07,135,26,47,62
"8",2012-02-22,132,22,52,58
"9",2012-03-08,131,25,51,55
"10",2012-03-23,129,25,47,57
"11",2012-04-07,130,22,48,60
"12",2012-04-22,131,23,50,58
"13",2012-05-07,129,26,48,55
"14",2012-05-22,132,25,50,57
"15",2012-06-06,131,25,52,54
"16",2012-06-21,116,24,48,44
"17",2012-07-06,118,24,50,44
"18",2012-07-21,123,24,50,49
"19",2012-08-05,126,23,53,50
"20",2012-08-20,125,25,52,48
"21",2012-09-04,124,27,48,49
"22",2012-09-19,123,27,50,46
"23",2012-10-04,119,23,50,46
"24",2012-10-19,122,20,49,53
"25",2012-11-03,122,21,47,54
"26",2012-11-18,121,22,46,53
"27",2012-12-03,121,22,43,56
"28",2012-12-18,120,22,46,52
"29",2013-01-02,116,23,42,51
"30",2013-01-17,118,24,45,49
"31",2013-02-01,121,23,45,53
"32",2013-02-16,123,25,45,53
"33",2013-03-03,124,23,49,52
"34",2013-03-18,125,24,49,52
"35",2013-04-02,128,24,53,51
"36",2013-04-17,123,25,55,43
"37",2013-05-02,119,25,51,43
"38",2013-05-17,118,24,50,44
"39",2013-06-01,118,22,53,43
"40",2013-06-16,123,22,54,47
"41",2013-07-01,121,21,56,44
"42",2013-07-16,122,23,53,46
"43",2013-07-31,121,27,56,38
"44",2013-08-15,121,26,53,42
"45",2013-08-30,126,24,55,47
"46",2013-09-14,127,23,53,51
"47",2013-09-29,129,23,52,54
"48",2013-10-14,135,26,55,54
"49",2013-10-29,135,26,59,50
"50",2013-11-13,136,25,62,49
"51",2013-11-28,137,25,62,50
"52",2013-12-13,140,27,67,46
"53",2013-12-28,143,25,66,52
"54",2014-01-12,142,25,65,52
"55",2014-01-27,143,28,60,55
"56",2014-02-11,141,30,61,50
"57",2014-02-26,137,27,57,53
"58",2014-03-13,135,25,58,52
"59",2014-03-28,131,26,56,49
"60",2014-04-12,133,28,52,53
"61",2014-04-27,137,26,52,59
"62",2014-05-12,135,22,48,65
"63",2014-05-27,135,22,47,66
"64",2014-06-11,134,23,40,71
"65",2014-06-26,130,23,39,68
"66",2014-07-11,126,23,38,65
"67",2014-07-26,126,26,38,62
"68",2014-08-10,126,24,34,68
"69",2014-08-25,122,24,37,61
"70",2014-09-09,118,23,36,59
"71",2014-09-24,119,26,37,56
"72",2014-10-09,117,25,37,55
"73",2014-10-24,117,22,39,56
"74",2014-11-08,112,20,41,51
"75",2014-11-23,109,20,40,49
"76",2014-12-08,105,21,39,45
"77",2014-12-23,100,22,38,40
"78",2015-01-07,102,22,39,41
"79",2015-01-22,100,21,38,41
