"","time","tot","s","n","l"
"1",2010-11-12,54,13,21,20
"2",2010-11-27,54,13,22,19
"3",2010-12-12,55,9,28,18
"4",2010-12-27,54,13,26,15
"5",2011-01-11,56,11,30,15
"6",2011-01-26,57,11,34,12
"7",2011-02-10,56,9,38,9
"8",2011-02-25,58,9,40,9
"9",2011-03-12,60,10,41,9
"10",2011-03-27,62,11,40,11
"11",2011-04-11,61,12,36,13
"12",2011-04-26,70,15,35,20
"13",2011-05-11,72,14,38,20
"14",2011-05-26,73,12,38,23
"15",2011-06-10,74,14,37,23
"16",2011-06-25,75,15,37,23
"17",2011-07-10,75,17,35,23
"18",2011-07-25,76,14,31,31
"19",2011-08-09,75,16,28,31
"20",2011-08-24,76,13,27,36
"21",2011-09-08,75,15,24,36
"22",2011-09-23,71,15,21,35
"23",2011-10-08,71,12,22,37
"24",2011-10-23,66,10,14,42
"25",2011-11-07,66,10,15,41
"26",2011-11-22,64,9,15,40
"27",2011-12-07,66,10,15,41
"28",2011-12-22,66,10,13,43
"29",2012-01-06,64,10,12,42
"30",2012-01-21,57,9,12,36
"31",2012-02-05,56,9,12,35
"32",2012-02-20,55,9,15,31
"33",2012-03-06,57,9,17,31
"34",2012-03-21,57,8,19,30
"35",2012-04-05,53,9,18,26
"36",2012-04-20,47,9,21,17
"37",2012-05-05,43,10,21,12
"38",2012-05-20,45,9,21,15
"39",2012-06-04,45,9,22,14
"40",2012-06-19,46,11,23,12
"41",2012-07-04,47,11,24,12
"42",2012-07-19,50,10,29,11
"43",2012-08-03,52,10,31,11
"44",2012-08-18,51,13,27,11
"45",2012-09-02,56,13,32,11
"46",2012-09-17,59,13,32,14
"47",2012-10-02,59,12,32,15
"48",2012-10-17,75,12,45,18
"49",2012-11-01,78,13,47,18
"50",2012-11-16,73,13,45,15
"51",2012-12-01,75,14,44,17
"52",2012-12-16,77,14,43,20
"53",2012-12-31,79,13,44,22
"54",2013-01-15,84,13,45,26
"55",2013-01-30,84,14,43,27
"56",2013-02-14,86,13,46,27
"57",2013-03-01,92,13,46,33
"58",2013-03-16,92,13,48,31
"59",2013-03-31,93,13,48,32
"60",2013-04-15,86,13,45,28
"61",2013-04-30,91,14,31,46
"62",2013-05-15,94,13,35,46
"63",2013-05-30,91,12,33,46
"64",2013-06-14,90,12,31,47
"65",2013-06-29,87,12,31,44
"66",2013-07-14,83,12,26,45
"67",2013-07-29,82,11,25,46
"68",2013-08-13,81,11,22,48
"69",2013-08-28,77,10,21,46
"70",2013-09-12,78,12,17,49
"71",2013-09-27,78,13,17,48
"72",2013-10-12,81,13,21,47
"73",2013-10-27,65,12,20,33
"74",2013-11-11,66,13,19,34
"75",2013-11-26,67,12,21,34
"76",2013-12-11,63,12,20,31
"77",2013-12-26,63,12,20,31
"78",2014-01-10,58,11,20,27
"79",2014-01-25,55,11,19,25
"80",2014-02-09,52,10,19,23
