"","time","tot","s","n","l"
"1",2009-03-05,328,53,193,82
"2",2009-03-20,355,67,196,92
"3",2009-04-04,368,70,195,103
"4",2009-04-19,380,73,197,110
"5",2009-05-04,396,75,204,117
"6",2009-05-19,409,77,203,129
"7",2009-06-03,423,78,204,141
"8",2009-06-18,419,79,192,148
"9",2009-07-03,416,80,187,149
"10",2009-07-18,415,74,186,155
"11",2009-08-02,416,72,176,168
"12",2009-08-17,444,70,196,178
"13",2009-09-01,438,70,191,177
"14",2009-09-16,432,56,168,208
"15",2009-10-01,432,57,167,208
"16",2009-10-16,429,58,161,210
"17",2009-10-31,426,58,147,221
"18",2009-11-15,420,50,139,231
"19",2009-11-30,406,49,124,233
"20",2009-12-15,397,44,124,229
"21",2009-12-30,386,48,115,223
"22",2010-01-14,375,45,115,215
"23",2010-01-29,381,48,132,201
"24",2010-02-13,373,53,104,216
"25",2010-02-28,373,47,115,211
"26",2010-03-15,348,42,124,182
"27",2010-03-30,355,40,129,186
"28",2010-04-14,364,39,143,182
"29",2010-04-29,363,41,156,166
"30",2010-05-14,356,43,163,150
"31",2010-05-29,359,46,182,131
"32",2010-06-13,363,41,195,127
"33",2010-06-28,372,47,211,114
"34",2010-07-13,386,47,224,115
"35",2010-07-28,399,56,222,121
"36",2010-08-12,378,55,223,100
"37",2010-08-27,388,55,226,107
"38",2010-09-11,393,54,229,110
"39",2010-09-26,405,54,237,114
"40",2010-10-11,415,54,238,123
"41",2010-10-26,437,57,240,140
"42",2010-11-10,440,58,234,148
"43",2010-11-25,453,66,228,159
"44",2010-12-10,457,70,227,160
"45",2010-12-25,462,77,204,181
"46",2011-01-09,456,80,189,187
"47",2011-01-24,458,79,182,197
"48",2011-02-08,456,77,182,197
"49",2011-02-23,471,80,192,199
"50",2011-03-10,481,78,198,205
"51",2011-03-25,479,77,191,211
"52",2011-04-09,478,72,186,220
"53",2011-04-24,481,69,185,227
"54",2011-05-09,500,71,209,220
"55",2011-05-24,521,75,229,217
"56",2011-06-08,549,82,252,215
"57",2011-06-23,568,78,283,207
"58",2011-07-08,566,75,296,195
"59",2011-07-23,575,75,312,188
"60",2011-08-07,586,78,324,184
"61",2011-08-22,596,75,325,196
"62",2011-09-06,609,83,335,191
"63",2011-09-21,619,85,346,188
"64",2011-10-06,623,78,362,183
"65",2011-10-21,622,79,369,174
"66",2011-11-05,635,86,359,190
"67",2011-11-20,636,98,332,206
"68",2011-12-05,647,103,314,230
"69",2011-12-20,661,104,303,254
"70",2012-01-04,671,109,303,259
"71",2012-01-19,682,114,298,270
"72",2012-02-03,707,106,306,295
"73",2012-02-18,707,103,308,296
"74",2012-03-04,719,111,303,305
"75",2012-03-19,746,114,314,318
"76",2012-04-03,769,110,334,325
"77",2012-04-18,790,112,342,336
"78",2012-05-03,804,118,360,326
"79",2012-05-18,809,122,375,312
"80",2012-06-02,808,115,390,303
"81",2012-06-17,797,113,386,298
"82",2012-07-02,810,115,400,295
"83",2012-07-17,811,114,402,295
"84",2012-08-01,804,100,391,313
"85",2012-08-16,799,99,388,312
"86",2012-08-31,788,99,377,312
"87",2012-09-15,785,107,359,319
"88",2012-09-30,790,109,344,337
"89",2012-10-15,789,107,336,346
"90",2012-10-30,796,117,323,356
"91",2012-11-14,797,122,297,378
"92",2012-11-29,793,123,290,380
"93",2012-12-14,803,123,305,375
"94",2012-12-29,811,117,297,397
"95",2013-01-13,834,118,313,403
"96",2013-01-28,827,119,328,380
"97",2013-02-12,815,115,330,370
"98",2013-02-27,820,107,348,365
"99",2013-03-14,820,103,352,365
"100",2013-03-29,819,101,364,354
"101",2013-04-13,826,96,379,351
"102",2013-04-28,818,97,377,344
"103",2013-05-13,811,98,389,324
"104",2013-05-28,805,98,395,312
"105",2013-06-12,810,106,381,323
"106",2013-06-27,799,109,383,307
"107",2013-07-12,798,115,372,311
"108",2013-07-27,808,117,362,329
"109",2013-08-11,806,120,363,323
"110",2013-08-26,804,126,350,328
"111",2013-09-10,798,120,342,336
"112",2013-09-25,787,118,324,345
"113",2013-10-10,777,116,305,356
"114",2013-10-25,771,110,299,362
"115",2013-11-09,782,114,295,373
"116",2013-11-24,785,109,288,388
"117",2013-12-09,771,109,283,379
"118",2013-12-24,779,104,295,380
"119",2014-01-08,768,102,277,389
"120",2014-01-23,760,104,281,375
"121",2014-02-07,749,102,269,378
"122",2014-02-22,750,105,271,374
"123",2014-03-09,734,103,272,359
"124",2014-03-24,721,103,277,341
"125",2014-04-08,703,99,281,323
"126",2014-04-23,704,105,293,306
"127",2014-05-08,695,103,287,305
"128",2014-05-23,701,101,306,294
"129",2014-06-07,697,107,304,286
"130",2014-06-22,712,102,306,304
"131",2014-07-07,691,103,312,276
"132",2014-07-22,693,103,313,277
"133",2014-08-06,680,95,311,274
"134",2014-08-21,674,93,301,280
"135",2014-09-05,674,93,303,278
"136",2014-09-20,676,100,298,278
"137",2014-10-05,682,100,302,280
"138",2014-10-20,691,98,291,302
"139",2014-11-04,676,92,290,294
"140",2014-11-19,671,92,270,309
"141",2014-12-04,671,102,260,309
"142",2014-12-19,642,97,237,308
