project_name,primary_language,window_starts,window_ends,Events,NLOC,LevD,Tokens,CycC,Functions,Commits,HalEff,TS,N,E,Diam,Dens,ClustC,InD,EigG,FModR
7compass__sentimental__2020-06-13_10-18-00,Ruby,1438312778.0,1463714378.0,81.5,42.166666666666664,1863.1666666666667,255.0,7.166666666666667,6.166666666666667,2.3333333333333335,69400.68138964094,6,7,97.0,4.0,0.16666666666666666,0.23809523809523808,1.0,0.05937896381602681,0.2616455757930412
7compass__sentimental__2020-06-13_10-18-00,Ruby,1463714378.0,1489115978.0,1.5,0.5,29.5,4.0,0.0,0.0,1.0,714.8010249745048,2,4,3.0,1.0,0.16666666666666666,0.0,0.5,2.0000000000575113e-06,1.0
airbnb__enzyme__2020-06-11_01-31-34,JavaScript,1459009889.0,1484411489.0,79.85,56.275,2066.575,340.625,11.125,8.625,3.125,630887.1784267544,40,55,222.0,4.0,0.0202020202020202,0.18933884297520662,1.0909090909090908,0.15340548161474554,0.1788696585852176
airbnb__enzyme__2020-06-11_01-31-34,JavaScript,1484411489.0,1509813089.0,110.75,65.9,3160.9,394.175,14.225,7.775,3.25,105082.8358376645,40,64,840.0,5.0,0.023065476190476192,0.2587830273175101,1.453125,0.17237584100990655,0.3078148115938743
airbnb__enzyme__2020-06-11_01-31-34,JavaScript,1509813089.0,1535214689.0,61.15,33.05,1721.125,193.6,8.525,3.05,3.725,73885.21537528442,40,54,616.0,4.0,0.0286512928022362,0.20642005456820275,1.5185185185185186,0.061510164727047956,0.418406566582492
airbnb__enzyme__2020-06-11_01-31-34,JavaScript,1535214689.0,1560616289.0,94.33333333333333,61.38461538461539,2872.4871794871797,391.5897435897436,14.256410256410257,6.82051282051282,3.641025641025641,140232.9114992447,39,65,587.0,4.0,0.019230769230769232,0.11170940170940172,1.2307692307692308,0.037906307339512946,0.3764154864598845
airbnb__enzyme__2020-06-11_01-31-34,JavaScript,1560616289.0,1586017889.0,33.92857142857143,13.928571428571429,740.5714285714286,159.92857142857142,4.142857142857143,2.0,1.9285714285714286,35006.06627864355,14,42,141.0,3.0,0.024390243902439025,0.052639751552795024,1.0,0.06115944741195323,0.4656016247988863
alphagov__pay-selfservice__2020-06-10_14-19-45,JavaScript,1447336126.0,1472737726.0,1350.0714285714287,692.2142857142857,38857.71428571428,4655.142857142857,110.35714285714286,89.14285714285714,19.142857142857142,902295.3336547267,14,16,3621.0,3.0,0.35,0.7476010101010102,5.25,0.18818903405332021,0.24720706411839408
alphagov__pay-selfservice__2020-06-10_14-19-45,JavaScript,1472737726.0,1498139326.0,1663.9473684210527,900.7894736842105,47585.05263157895,6148.578947368421,159.52631578947367,133.73684210526315,20.894736842105264,1577212.5835697472,19,24,5986.0,4.0,0.26992753623188404,0.6793758665082196,6.208333333333333,0.44314342518988503,0.28093013132931
alphagov__pay-selfservice__2020-06-10_14-19-45,JavaScript,1498139326.0,1523540926.0,1965.3333333333333,958.8888888888889,51275.555555555555,6672.333333333333,174.33333333333334,134.22222222222223,21.333333333333332,1546411.1968650243,18,29,9925.0,4.0,0.17980295566502463,0.6480980239408763,5.0344827586206895,0.27932497253504107,0.19128577501031216
